annotation_id;annotator;comment;created_at;id;lead_time;rating;sentiment;updated_at;Вопрос решен;Нравится качество выполнения заявки;Нравится качество работы сотрудников;Нравится скорость отработки заявок;Понравилось выполнение заявки
;;;;;;;;;;;;;
18;1;спасибо;12.05.2025 18:46;2945792;26.911;5;Понравилось выполнение заявки;12.05.2025 18:46;;;;;
19;1;отлично;12.05.2025 18:46;3380332;2.398;5;Понравилось выполнение заявки;12.05.2025 18:46;;;;;
20;1;благодарю за оперативное решение проблемы;12.05.2025 18:47;3381812;16.169;5;"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}";12.05.2025 18:47;;;;;
21;1;прекрасный специалист побольше таких;12.05.2025 18:47;3461991;11.01;5;Нравится качество работы сотрудников;12.05.2025 18:47;;;;;
22;1;пересчет и скорость;12.05.2025 18:47;3572768;12.709;1;Нравится скорость отработки заявок;12.05.2025 18:47;;;;;
23;1;спасибо за обновление покраски стен;12.05.2025 18:48;3584536;28.846;5;Понравилось выполнение заявки;12.05.2025 18:48;;;;;
24;1;выполнили быстро;12.05.2025 18:48;3596020;5.419;5;Нравится скорость отработки заявок;12.05.2025 18:48;;;;;
25;1;спасибо управляющей компании за то что прислали грамотного специалиста и быстро отреагировали на заявку;12.05.2025 18:48;3627490;25.459;5;"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}";12.05.2025 18:48;;;;;
26;1;решили мой вопрос спасибо;12.05.2025 18:48;3695420;7.544;5;Вопрос решен;12.05.2025 18:48;;;;;
27;1;очень радует работа ук оперативно спасибо;12.05.2025 18:48;3716702;13.619;5;"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}";12.05.2025 18:48;;;;;
28;1;все исправили;12.05.2025 18:49;3726842;3.133;5;Вопрос решен;12.05.2025 18:49;;;;;
29;1;спасибо за оперативную работу;12.05.2025 18:49;3745025;12.836;5;Нравится скорость отработки заявок;12.05.2025 18:49;;;;;
30;1;выполнили отлично обработка заявки была слишком дорогой;12.05.2025 18:49;3749719;16.407;5;Нравится качество выполнения заявки;12.05.2025 18:49;;;;;
31;1;спасибо большое теперь не скрипят;12.05.2025 18:49;3751364;3.083;5;Вопрос решен;12.05.2025 18:49;;;;;
32;1;спасибо все прошло очень хорошо;12.05.2025 18:49;3791959;10.873;5;Понравилось выполнение заявки;12.05.2025 18:49;;;;;
33;1;спасибо пришли все поменяли за 10 минут;12.05.2025 18:49;3797804;4.44;5;Нравится скорость отработки заявок;12.05.2025 18:49;;;;;
34;1;все очень оперативно;12.05.2025 18:49;3799741;2.528;5;Нравится скорость отработки заявок;12.05.2025 18:49;;;;;
35;1;огромное спасибо;12.05.2025 18:50;3802024;18.926;5;Вопрос решен;12.05.2025 18:50;;;;;
36;1;все отлично спасибо;12.05.2025 18:50;3805876;5.747;5;"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}";12.05.2025 18:50;;;;;
37;1;хороший мастер;12.05.2025 18:50;3812092;3.053;5;Нравится качество работы сотрудников;12.05.2025 18:50;;;;;
38;1;спасибо за оперативность;12.05.2025 18:50;3815412;4.075;5;Нравится скорость отработки заявок;12.05.2025 18:50;;;;;
39;1;выполнена;12.05.2025 18:50;3820641;2.715;5;Вопрос решен;12.05.2025 18:50;;;;;
40;1;все супер мастер;12.05.2025 18:50;3828569;19.705;5;"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}";12.05.2025 18:50;;;;;
41;1;благодарю ребят;12.05.2025 18:50;3829748;3.699;5;Нравится качество работы сотрудников;12.05.2025 18:50;;;;;
42;1;спасибо большое;12.05.2025 18:50;3831509;1.867;5;Вопрос решен;12.05.2025 18:50;;;;;
43;1;проблема решена ручки на окна поставили спасибо за обратную связь;12.05.2025 18:51;3834081;12.217;5;"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}";12.05.2025 18:51;;;;;
44;1;благодарю за проделанную работу;12.05.2025 18:51;3835748;10.053;5;Вопрос решен;12.05.2025 18:51;;;;;
45;1;надеюсь и причину устранили а то после первого дождя будет тоже самое;12.05.2025 18:51;3835874;9.038;5;Вопрос решен;12.05.2025 18:51;;;;;
46;1;спасибо вс чтко;12.05.2025 18:51;3839647;10.314;5;Вопрос решен;12.05.2025 18:51;;;;;
47;1;благодарю;12.05.2025 18:51;3840353;1.646;5;Вопрос решен;12.05.2025 18:51;;;;;
48;1;спасибо сергей;12.05.2025 18:51;3841026;3.569;5;Вопрос решен;12.05.2025 18:51;;;;;
49;1;михаил отличный мастер своего дела сделал быстро чисто дал рекомендации;12.05.2025 18:52;3842440;73.702;5;"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}";12.05.2025 18:52;;;;;
50;1;хоть что то сделали;12.05.2025 18:53;3842790;4.607;5;Вопрос решен;12.05.2025 18:53;;;;;
51;1;профессионально быстро очень приятный мастер;12.05.2025 18:53;3844645;8.81;5;"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}";12.05.2025 18:53;;;;;
52;1;спасибо вопрос решили вс стало нормально;12.05.2025 18:53;3846831;8.581;5;Вопрос решен;12.05.2025 18:53;;;;;
53;1;татьяна владимировна большое вам спасибо;12.05.2025 18:53;3848236;6.122;5;"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}";12.05.2025 18:53;;;;;
54;1;спасибо за быстрый ответ;12.05.2025 18:53;3850118;3.564;1;"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}";12.05.2025 18:53;;;;;
55;1;огромное спасибо вам от всего подъезда;12.05.2025 18:53;3852179;6.884;5;"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}";12.05.2025 18:53;;;;;
56;1;все отлично;12.05.2025 18:53;3854073;3.025;5;Вопрос решен;12.05.2025 18:53;;;;;
57;1;свершилось;12.05.2025 18:53;3856028;2.135;1;Вопрос решен;12.05.2025 18:53;;;;;
58;1;спасибо мастеру;12.05.2025 18:53;3859764;10.807;5;Вопрос решен;12.05.2025 18:53;;;;;
59;1;спасибо вам среагировали оперативнобыстро а так же вс время были на связи;12.05.2025 18:54;3859780;8.892;5;"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}";12.05.2025 18:54;;;;;
60;1;среагировали быстро благодарю;12.05.2025 18:54;3860248;3.225;5;"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}";12.05.2025 18:54;;;;;
61;1;отличный мастер;12.05.2025 18:54;3862448;4.245;5;Нравится качество работы сотрудников;12.05.2025 18:54;;;;;
62;1;спасибо по крайней мере по ночам пока шума не слышно;12.05.2025 18:54;3863351;2.389;5;Вопрос решен;12.05.2025 18:54;;;;;
63;1;быстро;12.05.2025 18:54;3863609;1.75;5;Нравится скорость отработки заявок;12.05.2025 18:54;;;;;
64;1;спасибо за своевременное выполнение заявки;12.05.2025 18:54;3866829;10.137;5;Вопрос решен;12.05.2025 18:54;;;;;
65;1;все сделали быстро спасибо;12.05.2025 18:54;3866867;3.395;5;"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}";12.05.2025 18:54;;;;;
66;1;вс отлично;12.05.2025 18:54;3868883;1.784;5;Вопрос решен;12.05.2025 18:54;;;;;
67;1;большое спасибо александруза оперативность и профессионализм;12.05.2025 18:54;3872124;24.048;5;"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}";12.05.2025 18:54;;;;;
68;1;оперативно и качественно спасибо;12.05.2025 18:55;3873692;7.592;5;"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}";12.05.2025 18:55;;;;;
69;1;благодарю всего доброго;12.05.2025 18:55;3875262;9.961;5;Вопрос решен;12.05.2025 18:55;;;;;
70;1;к мастеру вопросов нет;12.05.2025 18:55;3877334;9.369;3;Нравится качество работы сотрудников;12.05.2025 18:55;;;;;
71;1;мастер быстро решил проблемувс исправилочень довольнаспасибо;12.05.2025 18:55;3877901;16.953;5;"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки"",""Вопрос решен""]}";12.05.2025 18:55;;;;;
72;1;вытяжка заработала спасибо отдельное спасибо мастеру который сообщил что нет причин препятствующих подключению вытяжки к домовой вентиляции;12.05.2025 18:56;3878088;34.384;5;"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Вопрос решен""]}";12.05.2025 18:56;;;;;
73;1;спасибо большое надолго ли;12.05.2025 18:56;3878555;2.757;5;Вопрос решен;12.05.2025 18:56;;;;;
74;1;вс очень четко организовано большое спасибо за работу;12.05.2025 18:56;3879856;6.805;5;"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}";12.05.2025 18:56;;;;;
75;1;спасибо вам большое и за дверь и за номера квартир;12.05.2025 18:56;3880345;11.465;5;"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}";12.05.2025 18:56;;;;;
76;1;снимаю звезду за первую отписку без выполнения работ;12.05.2025 18:56;3880717;9.33;3;;12.05.2025 18:56;;;;;
77;1;в день создания заявки рабочие оперативно пришли и весь ужас убрали огромная благодарность;12.05.2025 18:57;3881004;30.919;5;"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Вопрос решен""]}";12.05.2025 18:57;;;;;
78;1;спасибо все заработало;12.05.2025 18:57;3881460;2.498;5;Вопрос решен;12.05.2025 18:57;;;;;
79;1;спасибо решили мой вопрос на месте в офисе;12.05.2025 18:57;3881636;8.518;5;Вопрос решен;12.05.2025 18:57;;;;;
80;1;спасибо больше ольге птушкине за проделанную работу;12.05.2025 18:57;3882840;11.178;5;Вопрос решен;12.05.2025 18:57;;;;;
81;1;вс сделали хорошо починили вовремя наверное молодцы;12.05.2025 18:57;3883200;14.399;5;"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Вопрос решен""]}";12.05.2025 18:57;;;;;
82;1;супер спасибо;12.05.2025 18:57;3883549;1.833;5;Вопрос решен;12.05.2025 18:57;;;;;
83;1;отлично все выполнили как и обещали;12.05.2025 18:58;3883658;9.937;5;"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}";12.05.2025 18:58;;;;;
84;1;очень оперативно спасибо большое;12.05.2025 18:58;3883736;7.848;5;Нравится скорость отработки заявок;12.05.2025 18:58;;;;;
85;1;мастер андрей помог подобрать оборудование краныпереходники для подключения быстро и качественно произвел подключение стиральной машинки огромное ему спасибо;12.05.2025 18:58;3883745;21.33;5;"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}";12.05.2025 18:58;;;;;
86;1;умело подкрутили редукторы давления молодец;12.05.2025 18:59;3884964;22.948;5;Вопрос решен;12.05.2025 18:59;;;;;
87;1;все хорошодверь практически бесшумно закрывается;12.05.2025 18:59;3885089;4.037;5;Вопрос решен;12.05.2025 18:59;;;;;
88;1;проблемы как таковой не было я в процессе поиска страх компании и всего лишь спасибо сотрудникам;12.05.2025 18:59;3886150;26.525;5;Нравится качество работы сотрудников;12.05.2025 18:59;;;;;
89;1;быстро чтко без проблем одно слово мастер;12.05.2025 18:59;3886231;15.492;5;"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}";12.05.2025 18:59;;;;;
90;1;работает спасибо;12.05.2025 18:59;3886721;1.529;5;Вопрос решен;12.05.2025 18:59;;;;;
91;1;сегодня ездил все исправно работает спасибо;12.05.2025 18:59;3886923;3.183;5;Вопрос решен;12.05.2025 18:59;;;;;
92;1;спасибо большое вс понятно;12.05.2025 18:59;3886937;3.914;5;Вопрос решен;12.05.2025 18:59;;;;;
93;1;татьяна спасибо;12.05.2025 18:59;3887002;2.375;5;Вопрос решен;12.05.2025 18:59;;;;;
94;1;на вопрос ответили крепления нельзя повесить в колясочной;12.05.2025 19:00;3887203;6.473;5;Вопрос решен;12.05.2025 19:00;;;;;
95;1;большое спасибо;12.05.2025 19:00;3887228;1.368;5;Вопрос решен;12.05.2025 19:00;;;;;
96;1;лучший;12.05.2025 19:00;3887353;5.081;5;;12.05.2025 19:00;;;;;
97;1;спасибо за то что быстро отреагировали;12.05.2025 19:00;3887392;5.605;5;Нравится скорость отработки заявок;12.05.2025 19:00;;;;;
98;1;сервис на высоте мастер профессионал;12.05.2025 19:00;3887422;2.455;5;Нравится качество работы сотрудников;12.05.2025 19:00;;;;;
99;1;надолго ли;12.05.2025 19:00;3887614;2.396;2;;12.05.2025 19:00;;;;;
100;1;спасибо все работает;12.05.2025 19:00;3887743;4.313;5;Вопрос решен;12.05.2025 19:00;;;;;
101;1;заявка выполнена спасибо;12.05.2025 19:00;3887844;1.32;5;Вопрос решен;12.05.2025 19:00;;;;;
102;1;дверь закрывается намного лучше;12.05.2025 19:00;3887922;3.751;5;Вопрос решен;12.05.2025 19:00;;;;;
