"annotation_id","annotator","comment","created_at","id","lead_time","rating","sentiment","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
85,"1","спасибо","2025-05-13T09:39:55.415067Z",2945792,85.51799999999999,5,"Понравилось выполнение заявки","2025-05-13T11:16:38.351347Z","","","","",""
86,"1","отлично","2025-05-13T09:57:07.278789Z",3380332,73.366,5,"Нравится качество выполнения заявки","2025-05-13T11:09:40.042509Z","","","","",""
87,"1","благодарю за оперативное решение проблемы","2025-05-13T11:09:51.430194Z",3381812,9.521,5,"Нравится скорость отработки заявок","2025-05-13T11:09:51.430194Z","","","","",""
88,"1","прекрасный специалист побольше таких","2025-05-13T11:10:00.832329Z",3461991,7.5,5,"Нравится качество работы сотрудников","2025-05-13T11:10:00.832329Z","","","","",""
89,"1","пересчет и скорость","2025-05-13T11:10:10.798700Z",3572768,16.608999999999998,1,"","2025-05-13T11:23:22.109189Z","","","","",""
90,"1","спасибо за обновление покраски стен","2025-05-13T11:10:46.211486Z",3584536,20.519000000000002,5,"Понравилось выполнение заявки","2025-05-13T11:17:06.595088Z","","","","",""
91,"1","выполнили быстро","2025-05-13T11:10:49.264487Z",3596020,1.635,5,"Нравится скорость отработки заявок","2025-05-13T11:10:49.265489Z","","","","",""
92,"1","спасибо управляющей компании за то что прислали грамотного специалиста и быстро отреагировали на заявку","2025-05-13T11:11:07.882476Z",3627490,20.543000000000003,5,"Нравится качество работы сотрудников","2025-05-13T11:17:02.013337Z","","","","",""
93,"1","решили мой вопрос спасибо","2025-05-13T11:11:17.836455Z",3695420,7.806,5,"Вопрос решен","2025-05-13T11:11:17.836455Z","","","","",""
94,"1","очень радует работа ук оперативно спасибо","2025-05-13T11:11:29.576302Z",3716702,14.643,5,"Нравится скорость отработки заявок","2025-05-13T11:17:15.231329Z","","","","",""
95,"1","все исправили","2025-05-13T11:11:33.827502Z",3726842,2.392,5,"Вопрос решен","2025-05-13T11:11:33.827502Z","","","","",""
96,"1","спасибо за оперативную работу","2025-05-13T11:11:38.238026Z",3745025,1.767,5,"Нравится скорость отработки заявок","2025-05-13T11:11:38.238026Z","","","","",""
97,"1","выполнили отлично обработка заявки была слишком дорогой","2025-05-13T11:12:05.419341Z",3749719,39.028999999999996,5,"Нравится качество выполнения заявки","2025-05-13T11:17:34.930317Z","","","","",""
98,"1","спасибо большое теперь не скрипят","2025-05-13T11:12:09.263580Z",3751364,1.494,5,"Вопрос решен","2025-05-13T11:12:09.263580Z","","","","",""
99,"1","норм","2025-05-13T11:12:13.089449Z",3773834,2.224,1,"Вопрос решен","2025-05-13T11:12:13.089449Z","","","","",""
100,"1","спасибо все прошло очень хорошо","2025-05-13T11:12:20.957085Z",3791959,8.795,5,"Понравилось выполнение заявки","2025-05-13T11:17:44.637144Z","","","","",""
101,"1","спасибо пришли все поменяли за 10 минут","2025-05-13T11:12:27.950213Z",3797804,3.971,5,"Нравится скорость отработки заявок","2025-05-13T11:12:27.950213Z","","","","",""
102,"1","все очень оперативно","2025-05-13T11:12:31.229869Z",3799741,1.693,5,"Нравится скорость отработки заявок","2025-05-13T11:12:31.229869Z","","","","",""
103,"1","огромное спасибо","2025-05-13T11:12:34.312455Z",3802024,1.599,5,"Понравилось выполнение заявки","2025-05-13T11:12:34.312455Z","","","","",""
104,"1","все отлично спасибо","2025-05-13T11:12:42.865439Z",3805876,6.978,5,"Понравилось выполнение заявки","2025-05-13T11:12:42.865439Z","","","","",""
105,"1","хороший мастер","2025-05-13T11:12:46.539276Z",3812092,1.829,5,"Нравится качество работы сотрудников","2025-05-13T11:12:46.539276Z","","","","",""
106,"1","спасибо за оперативность","2025-05-13T11:12:49.849436Z",3815412,2.03,5,"Нравится скорость отработки заявок","2025-05-13T11:12:49.849436Z","","","","",""
107,"1","выполнена","2025-05-13T11:12:53.541433Z",3820641,1.489,5,"Вопрос решен","2025-05-13T11:12:53.541433Z","","","","",""
108,"1","все супер мастер","2025-05-13T11:12:57.489468Z",3828569,1.896,5,"Нравится качество работы сотрудников","2025-05-13T11:12:57.489468Z","","","","",""
109,"1","благодарю ребят","2025-05-13T11:13:01.596430Z",3829748,2.529,5,"Нравится качество работы сотрудников","2025-05-13T11:13:01.596430Z","","","","",""
110,"1","спасибо большое","2025-05-13T11:13:05.158431Z",3831509,2.314,5,"Понравилось выполнение заявки","2025-05-13T11:13:05.158431Z","","","","",""
111,"1","проблема решена ручки на окна поставили спасибо за обратную связь","2025-05-13T11:18:26.919858Z",3834081,19.603,5,"Понравилось выполнение заявки","2025-05-13T11:18:26.919858Z","","","","",""
112,"1","благодарю за проделанную работу","2025-05-13T11:18:33.563773Z",3835748,5.064,5,"Нравится качество выполнения заявки","2025-05-13T11:18:33.563773Z","","","","",""
113,"1","надеюсь и причину устранили а то после первого дождя будет тоже самое","2025-05-13T11:18:44.606299Z",3835874,8.471,5,"Вопрос решен","2025-05-13T11:18:44.606299Z","","","","",""
114,"1","спасибо вс чтко","2025-05-13T11:18:56.733842Z",3839647,10.504,5,"Понравилось выполнение заявки","2025-05-13T11:18:56.733842Z","","","","",""
115,"1","благодарю","2025-05-13T11:19:00.689931Z",3840353,2.817,5,"Понравилось выполнение заявки","2025-05-13T11:19:00.689931Z","","","","",""
116,"1","спасибо сергей","2025-05-13T11:19:04.243366Z",3841026,2.054,5,"Нравится качество работы сотрудников","2025-05-13T11:19:04.243366Z","","","","",""
117,"1","михаил отличный мастер своего дела сделал быстро чисто дал рекомендации","2025-05-13T11:19:08.233125Z",3842440,1.351,5,"Нравится качество работы сотрудников","2025-05-13T11:19:08.233125Z","","","","",""
118,"1","хоть что то сделали","2025-05-13T11:19:17.003228Z",3842790,6.774,5,"Вопрос решен","2025-05-13T11:19:17.003228Z","","","","",""
119,"1","профессионально быстро очень приятный мастер","2025-05-13T11:19:30.785279Z",3844645,10.902,5,"Нравится качество работы сотрудников","2025-05-13T11:19:30.785279Z","","","","",""
120,"1","спасибо вопрос решили вс стало нормально","2025-05-13T11:19:36.706276Z",3846831,2.664,5,"Вопрос решен","2025-05-13T11:19:36.706276Z","","","","",""
121,"1","татьяна владимировна большое вам спасибо","2025-05-13T11:19:40.574284Z",3848236,1.927,5,"Нравится качество работы сотрудников","2025-05-13T11:19:40.574284Z","","","","",""
122,"1","спасибо за быстрый ответ","2025-05-13T11:19:45.104266Z",3850118,11.974,1,"","2025-05-13T11:23:40.357183Z","","","","",""
123,"1","огромное спасибо вам от всего подъезда","2025-05-13T11:19:50.063279Z",3852179,2.064,5,"Понравилось выполнение заявки","2025-05-13T11:19:50.063279Z","","","","",""
124,"1","все отлично","2025-05-13T11:19:55.778013Z",3854073,3.69,5,"Понравилось выполнение заявки","2025-05-13T11:19:55.778013Z","","","","",""
125,"1","свершилось","2025-05-13T11:19:58.815268Z",3856028,3.214,1,"","2025-05-13T11:23:44.838858Z","","","","",""
126,"1","спасибо мастеру","2025-05-13T11:20:01.802856Z",3859764,1.5,5,"Нравится качество работы сотрудников","2025-05-13T11:20:01.802856Z","","","","",""
