comment;id;rating;Вопрос решен;Нравится качество выполнения заявки;Нравится качество работы сотрудников;Нравится скорость отработки заявок;Понравилось выполнение заявки;Вопрос не решен
спасибо;2945792;5;0;0;0;0;1;0
Отлично ;3380332;5;0;0;0;0;1;0
Благодарю за оперативное решение проблемы ! ;3381812;5;1;0;0;1;1;0
Прекрасный специалист! Побольше таких;3461991;5;0;0;1;0;0;0
"пересчет, и скорость 
";3572768;1;0;0;0;1;0;0
Спасибо за обновление покраски стен;3584536;5;0;0;0;0;1;0
выполнили быстро;3596020;5;0;0;0;1;0;0
спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ;3627490;5;0;0;1;1;0;0
Решили мой вопрос. Спасибо! ;3695420;5;1;0;0;0;0;0
Очень радует работа УК. Оперативно! Спасибо!;3716702;5;0;0;0;1;1;0
Все исправили ;3726842;5;1;0;0;0;0;0
спасибо за оперативную работу ;3745025;5;0;0;0;1;0;0
Выполнили отлично , обработка заявки была слишком дорогой ;3749719;5;0;1;0;0;0;0
спасибо большое! теперь не скрипят ;3751364;5;1;0;0;0;0;0
спасибо. все прошло очень хорошо;3791959;5;0;0;0;0;1;0
Спасибо, пришли все поменяли за 10 минут ;3797804;5;0;0;0;1;0;0
Все очень оперативно ;3799741;5;0;0;0;1;0;0
Огромное спасибо.;3802024;5;1;0;0;0;0;0
Все отлично! Спасибо.;3805876;5;1;0;0;0;1;0
Хороший мастер;3812092;5;0;0;1;0;0;0
"Спасибо за оперативность! 
";3815412;5;0;0;0;1;0;0
"выполнена

";3820641;5;1;0;0;0;0;0
Все супер, Мастер 👍;3828569;5;0;0;1;0;1;0
Благодарю ребят.;3829748;5;0;0;1;0;0;0
Спасибо большое ;3831509;5;1;0;0;0;0;0
"Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!";3834081;5;1;0;0;0;1;0
Благодарю за проделанную работу! ;3835748;5;1;0;0;0;0;0
надеюсь и причину устранили, а то после первого дождя будет тоже самое..;3835874;5;1;0;0;0;0;0
Спасибо, всё чётко.;3839647;5;1;0;0;0;0;0
Благодарю ;3840353;5;1;0;0;0;0;0
Спасибо Сергей ! ))));3841026;5;1;0;0;0;0;0
Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации);3842440;5;1;1;1;1;1;0
хоть что то сделали 👍👏;3842790;5;1;0;0;0;0;0
профессионально, быстро. очень приятный мастер;3844645;5;0;0;1;1;0;0
Спасибо, вопрос решили, всё стало нормально ;3846831;5;1;0;0;0;0;0
Татьяна Владимировна большое вам спасибо!!!! ;3848236;5;1;0;1;0;0;0
"спасибо за  быстрый ответ! 


";3850118;1;1;0;0;1;0;0
Огромное спасибо вам от всего подъезда!!!   )))));3852179;5;1;0;0;0;1;0
Все отлично ;3854073;5;1;0;0;0;0;0
свершилось;3856028;1;1;0;0;0;0;0
Спасибо мастеру ;3859764;5;1;0;0;0;0;0
спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝;3859780;5;1;0;0;1;1;0
Среагировали быстро, благодарю ;3860248;5;1;0;0;1;0;0
Отличный мастер!;3862448;5;0;0;1;0;0;0
Спасибо! По крайней мере, по ночам пока шума не слышно.;3863351;5;1;0;0;0;0;0
